faq_no,subject,question,answer,note,date,up_check,print_check,カテゴリ
359,関数スタック（旧CPUトレース）ウィンドウに表示されるタイムスタンプは正確ですか,"関数スタック・ウィンドウ（旧CPUトレース・ウィンドウ）に表示されるタイムスタンプは正確なのでしょうか？

ETM ETB ETF TBR RTM MTB","トレース・マクロセルからは必要最小限の情報だけが出力され、その間はCSIDEがトレース情報とデバッグ情報から補完して表示しています。
Model-TでETMを使用している場合、CPUから出力されたトレース情報と一緒にPALMiCE4がタイムスタンプを付加しているので、トレース情報が出力されたポイントの時間は正確ですが、補完部分では正確な時間は表示できません。
また、上記以外でトレースを取得している場合は、タイムスタンプではなくカウント値となりますのでご注意ください。
",,2022/11/29 11:54:18,True,True,JTAGエミュレータ(ARM系)
360,リアルタイム・モニタに登録したのに何も表示されない,RTM,"ご使用のCPUに、リアルタイム・モニタ機能に必要な機能が備わっていない可能性があります。
リアルタイム・モニタ機能は、JTAG/SWDを通じてDAP(CoreSight Debug Access Port)からAXI-AHBバスにアクセスすることにより実現していますので、DAPからAXI-AHBバスにアクセスできないと、変数値をリアルタイムに表示することはできません。",,2022/11/18 10:19:21,True,True,JTAGエミュレータ(ARM系)
361,コア・ベンチマーク機能が有効にできない,コアベンチマーク,"ご使用のCPUにコア・ベンチマーク機能に必要な機能が備わっていないと、有効にすることはできません。
コア・ベンチマーク機能は、JTAG/SWDを通じてCoreSight Debug Access Port (DAP)からプログラム・カウンタ(PC)の値をサンプリングすることにより実現していますので、DAPを通じてPCの値がサンプリングできない場合は有効にできません。",,2023/01/10 9:47:37,True,True,JTAGエミュレータ(ARM系)
362,変数値は変化してるはずなのにリアルタイム・モニタに登録した変数の値が変化しない,"リアルタイムモニタ
RTM","リアルタイム・モニタに登録しているアドレスがキャッシュ領域の場合、キャッシングされたデータを取得することはできません。この場合、変数を非キャッシュ領域に配置するか、変数代入後にキャッシュをパージする処理を入れる必要があります。
また、登録アドレスが仮想アドレスの場合、登録時に論理アドレスから物理アドレスに変換して登録するので、MMU初期化前に登録した場合やユーザ・プログラム実行によりMMUが変更された場合は、目的のデータを取得することができなくなります。

【注意】
リアルタイム・モニタ機能は、RTOSタスク・トレースのリアルタイム連続取得機能など、他の実行中にメモリをアクセスする機能と併用することはできません。",,2023/01/10 9:47:53,True,True,JTAGエミュレータ(ARM系)
364,できるだけ埋め込みのオーバヘッドを少なくしたい,,"１．データ転送用のGPIO(PD0~3)を増やす
データ転送用のGPIOを増やすと転送スピード速くなるので、オーバーヘッドは少なくなります。概ね1ビット転送に比べて2ビット転送だとオーバーヘッドは半分に、4ビット転送だとさらにその半分になります。

２．データ転送用のGPIO(PD0~3)と制御用のGPIO(PWE)を同一ポートにする
データ転送用のGPIOと制御用のGPIOが別ポートだとGPIOアクセスが2回必要ですが、データ転送用のGPIOと制御用のGPIOを同一ポートだと1回のGPIOアクセスで転送できるので、オーバーヘッドを半分にできます。

３．高速/中速テスト・コードを使用する
標準のテスト・コードが32ビットなのに対して、高速は8ビット、中速は16ビットで出力を行います。標準のテスト・コードと比較すると、高速テスト・コードが2～3倍、中速テスト・コードが1.5～2倍の速度でレコード・パケットを出力できます。ただし、高速テスト・コードは128ポイント、中速テスト・コードは32768ポイントまでの設定となります（参考【https://www.computex.co.jp/support/faq/Members/qa?no=374】FAQ No.000374【/a】）。",,2022/11/29 17:04:16,True,True,動的テストツール(CodeRecorder)
365,RTOS関連のヘルプが見当たらない,RTOSタブ、RTOSヘルプ,"設定メニュー &gt; [CSIDEの設定] &gt; [RTOS]タブでご使用になるRTOSを選択した後でCSIDEヘルプを開くと、ご使用になるRTOSのヘルプが左側の目次に追加されます。

※CSIDE for PALMiCE4 ARMでは、V7.28.00 以降は全てのRTOSヘルプが常に目次に表示さるようになりました。
",,2023/04/07 15:48:10,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
366,"CSIDE IDEでビルドすると一部のファイルだけがコンパイルされたりおかしな挙動をすることがある
",,ライブラリ・ファイル等も一緒にワークスペースに登録しているということはないでしょうか。CSIDE IDEは汎用的なIDEのため、拡張子によって異なる処理を行うことはせず、全て入力ファイルとして扱います。libファイルは、リンクオプションで直接指定するようにしてください。,,2022/11/29 15:35:02,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
367,リアルタイム・モニタを有効にしていると画面がブレーク状態にならない,"RTM
コアベンチマーク","リアルタイム・モニタの設定の[ブレーク・チェックを行う]の設定を確認してください。無効になっているとブレーク・チェックを行わないため、ブレークしていても画面がブレーク状態になりません。
これは、コア・ベンチマークでも同様です。
",,2023/01/10 9:47:48,True,True,JTAGエミュレータ(ARM系)
368,"データをロードした後スタンドアロンで書き込みを行ったがデータが何も書き込まれない
",,"ファイルをロードしただけではFP本体に書き込まれません。FP本体に書き込むには、[書込み]ボタンをクリックする必要があります。
",,2023/06/08 10:04:20,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
369,リアルタイム・モニタのサンプリング周期をできるだけ高速にしたい,"RTM
コアベンチマーク","以下の設定を行ってください。
・リアルタイム・モニタ・ウィンドウの設定にある[ブレーク・チェックを行う]を無効にする
・コア・ベンチマーク機能を無効にする
・モニタリングするコアを１つにする
・モニタリングする変数をを１つにする
・JTAG/SWDクロックを可能な限り高速にする
・モニタリングするバスのコントローラの設定でアクセス・スピードを可能な限り高速にする
",,2023/01/10 9:47:41,True,True,JTAGエミュレータ(ARM系)
370,コア・ベンチマークのサンプリング周期をできるだけ高速にしたい,"コアベンチマーク
RTM","以下の設定を行ってください。
・コア・ベンチマーク・ウィンドウのプロパティにある[ブレーク・チェックを行う]を無効にする
・リアルタイム・モニタ機能を無効にする
・モニタリングするコアを１つにする
・JTAG/SWDクロックを可能な限り高速にする
",,2023/01/10 9:48:08,True,True,JTAGエミュレータ(ARM系)
371,アップデート用インストーラで製品ライセンス・キーが何も表示されないのでインストールできない,,"ライセンス・ツールのバージョンが古いことが考えられます。ライセンス・ツールの最新バージョンをご使用ください。
最新バージョンは、【https://www.computex.co.jp/support/download/license_tool.htm】ダウンロード・ページ【/a】からダウンロードできます。
",,2022/12/12 10:11:00,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
Linuxアプリケーション・デバッガ(C-Shark)"
372,ライセンス・ビューアの機種名と製品名が Unknown と表示される,,"ライセンス・ツールのバージョンが古いことが考えられます。ライセンス・ツールの最新バージョンをご使用ください。
最新バージョンは、【https://www.computex.co.jp/support/download/license_tool.htm】ダウンロード・ページ【/a】からダウンロードできます。
",,2022/11/17 16:47:51,True,True,ライセンス・ツール
373,Cマクロでターゲット・メモリをアクセスすると「Error: メモリの確保されていないアドレスにアクセスしました。」というエラーになる,,"CMacroHeapArea コマンドで、Cマクロが使用するヒープ領域を設定してください。このコマンドの引数で設定したエリアがCマクロのヒープ領域として設定され、それ以外のエリアはターゲット側のメモリをアクセスするようになります。なお、このコマンド実行後にプロジェクト保存すると、この設定はプロジェクト・ファイルに保存されます。
※ このコマンドは必ずコマンド・ウィンドウで実行してください。Cマクロ内で実行した場合の動作は不定です。

（例）CMacroHeapArea(true, 0, 0xFFFFF)
　　　0～0xFFFFFはCマクロが使用し、それ以外はターゲット・メモリをアクセスする",,2023/02/16 15:41:06,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
374,どこの埋め込みがネックになっているか知りたい,,"取得したレコード・パケットから、テスト・コードの負荷ランキングを表示することができます。また、負荷ランキングの高いテスト・コードを高速/中速テスト・コードへ設定を変更することができます（参考【https://www.computex.co.jp/support/faq/Members/qa?no=364】FAQ No.000364【/a】）。
テスト・コードの負荷ランキングは、プロジェクト・ウィンドウの右クリック・メニュー &gt; [埋め込み負荷ランキング]で表示します。
",,2022/11/29 17:03:26,True,True,動的テストツール(CodeRecorder)
375,変数の変化を知りたいので構文解析レベルを「簡易」から「標準」に変更したらビルド・エラーが出るようになった,,"構文解析レベルが簡易の場合、プリプロセッサの処理を行わない簡単な埋め込みだけを行うためビルド・エラーは殆ど発生ませんが、構文解析レベルが標準の場合はプリプロセッサ処理を行うので、ご使用のコンパイラと同じデファイン定義を全てCodeRecorderに設定する必要があります。この設定にもれがあったりすると、ビルドでエラーが発生することがあります。（標準ではインクルード・ファイルの展開も行いますが、こちらは適切な解析でテスト・コード埋め込み時のエラーや警告を、ある程度回避するようになっています。）
デファイン定義やインクルードパスの設定を調べて設定するのは大変なので、CodeRecorderではコンパイル・ログから情報を取得して設定する機能を用意しています。詳しくは、CodeRecorderヘルプの[コンパイル・ログからファイルを追加]をご参照ください。
",,2023/05/10 13:33:40,True,True,動的テストツール(CodeRecorder)
376,関数内の全ての変数に埋め込みを行うとタイムラグが大きいので一部の変数にだけ埋め込みを行いたい,,"プロジェクト・ウィンドウの対象となる関数の[変数]埋め込み設定が有効な状態で、右クリック・メニュー &gt; [変数の埋め込み選択]で埋め込み対象となっている変数一覧が表示されます。デフォルトでは全ての変数が埋め込み対象となっているので、埋め込み不要な変数を対象から外してください。
Tips：埋め込み対象が少ない場合は、一旦[Ctrl]+[A]キーで全て選択して埋め込み解除した後、必要な変数だけをピックアップする方が簡単な場合もあります。",,2022/11/30 11:41:00,True,True,動的テストツール(CodeRecorder)
377,カスタムチップのような一般に販売していないCPUの対応も可能ですか,,"カスタム対応も承っております。ご相談は、当社ホームページの【https://www.computex.co.jp/contact/index.htm】お問い合わせフォーム【/a】をご利用ください。
","FP-10_HP_QA3

",2022/12/21 17:06:34,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
378,ターゲットとの接続方法にJTAGとSWDがあるがその違いは？,,どちらもARMコアと通信を行なうためのインターフェースの名称です。JTAGは従来からある５本の信号を使用したインターフェースで、SWDはCortexシリーズのコアから追加された2本の信号を使用したデバッグ・インターフェースです。どちらのインターフェースでも同じ制御を行ないますので、ご使用になるターゲットボードのインターフェースに合わせて選択してください。,FP-10_HP_QA4,2023/01/10 9:48:13,True,True,"JTAGエミュレータ(ARM系)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
379,この製品は輸出管理規制品ですか、そうでない場合該非判定パラメータシートを提供してもらえますか,パラメータ・シート、非該当証明書、該非判定書,"輸出管理規制品ではありません。
該非判定パラメータシートやEAR判定書は、ご依頼に基づき発行いたしますので、【https://www.computex.co.jp/contact/index.htm】お問い合わせフォーム【/a】よりご依頼ください。なお、ご提供にはご依頼後7営業日ほどいただきます。",FP-10_HP_QA9を汎用的に変更,2024/02/06 13:12:06,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)
一般的な質問"
380,ソフトウェアやハードウェアのマニュアルはどこにありますか,"取扱説明書　PDFマニュアル　製本マニュアル

以下は変更前の回答
ソフトウェアをインストールしたフォルダ(F)にPDF形式のマニュアルがあります。
また、Windowsのスタート・メニュー(W)からも表示することができます。
■PALMiCE4、PALMiCE3、C-Shark
　・(F) C:\Program Files (x86)\CSIDE\Etc\《機種名》\PDF
　・(W) Windows スタート・メニュー &gt; （全てのアプリ） &gt; CSIDE
　・C:\Program Files (x86)\CSIDE\Etc\《機種名》\Example\《CPU名》\System（ボード固有の説明書がある場合）
■FP-40、FP-10
　・(F) C:\Program Files (x86)\C-Flash\Etc\FP\PDF
　・(W) Windows スタート・メニュー &gt; （全てのアプリ） &gt; C-Flash
■FP-30
　・(F) C:\Program Files (x86)\C-Flash_SPI\Etc\SPI\PDF
　・(W) Windows スタート・メニュー &gt; （全てのアプリ） &gt; C-Flash_SPI
■CodeRecorder
　・(F) C:\Program Files (x86)\COMPUTEX\CodeRecorder E2\Program
　・(W) Windows スタート・メニュー &gt; （全てのアプリ） &gt; Computex","このFAQは機種ごとのFAQに変更されました。
ご使用の機種のFAQをご覧ください。
・【https://www.computex.co.jp/support/faq/Members/qa?no=518】PALMiCE4【/a】
・【https://www.computex.co.jp/support/faq/Members/qa?no=519】PALMiCE3【/a】
・【https://www.computex.co.jp/support/faq/Members/qa?no=520】C-Shark【/a】
・【https://www.computex.co.jp/support/faq/Members/qa?no=521】FP-40(FP-10)【/a】
・【https://www.computex.co.jp/support/faq/Members/qa?no=522】FP-30【/a】
・【https://www.computex.co.jp/support/faq/Members/qa?no=523】CodeRecorder【/a】","FP-10_HP_QA10を汎用的に変更
2025/02/19：機種ごとに分割",2025/02/19 15:12:57,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)
Linuxアプリケーション・デバッガ(C-Shark)
一般的な質問"
381,ライセンスに関するマニュアルはどこにありますか,取扱説明書　PDFマニュアル　製本マニュアル,"ライセンス・ツールをインストールしたフォルダにPDF形式のマニュアルがあります。
■PALMiCE4、PALMiCE3、C-Sharkの場合：C:\Program Files (x86)\CSIDE\LICENSE
■上記以外の場合：C:\Program Files (x86)\COMPUTEX\License

また、Windowsのスタート・メニューからも表示することができます。
■PALMiCE4、PALMiCE3、C-Sharkの場合：Windows スタート・メニュー &gt; （全てのアプリ） &gt; CSIDE
■上記以外の場合：Windows スタート・メニュー &gt; （全てのアプリ） &gt; Computex",FP-10_HP_QA11を汎用的に変更,2023/01/10 9:46:02,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)
ライセンス・ツール
Linuxアプリケーション・デバッガ(C-Shark)
一般的な質問"
382,ターゲットと接続するための参考回路はありますか,,"当社ホームページの技術資料をご参照ください。
・【https://www.computex.co.jp/webreg/Members/vi?fl=pdf/technical/fp40_if01_gijutsu.pdf】FP-40 インターフェース資料【/a】(PDF)
・【https://www.computex.co.jp/webreg/Members/vi?fl=pdf/technical/fp10_if01_gijutsu.pdf】FP-10 インターフェース資料【/a】(PDF)","FP-10_HP_QA5
機種依存アリ
tani
技術資料名称変更予定あり。
",2023/06/08 9:51:57,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
383,SPIフラッシュメモリ・プログラマ FP-30を接続するためのターゲット側コネクタの参考回路はありますか,フラッシュメモリプログラマ、フラッシュメモリ・ライタ、フラッシュメモリライタ、フラッシュ・ライタ、フラッシュライタ、シリアルNORフラッシュメモリ,当社ホームページのFP-30の製品ページに、FP-30 【https://www.computex.co.jp/webreg/Members/vi?fl=pdf/technical/fp30_if01_gijutsu.pdf】技術資料【/a】(PDF)を掲載しております。,,2024/11/14 11:29:17,True,True,SPIフラッシュ専用プログラマ(FP-30)
384,所有しているオンボード・フラッシュメモリ・プログラマで使用可能なCPUを知りたい,"CPUアップデートライセンス　アップデートライセンス
オンボード・フラッシュメモリプログラマ、フラッシュメモリプログラマ、フラッシュメモリ・ライタ、フラッシュメモリライタ、フラッシュ・ライタ、フラッシュライタ","確認したいFP本体を接続した状態でC-Flashを起動し、ヘルプ・メニュー &gt; インフォメーション &gt; [対応CPU]ボタンをクリックすると、使用可能なCPUと使用不可のCPUが表示されます。なお、使用不可CPUに表示されるCPUについては、CPUアップデート・ライセンスをご購入いただく事で使用できるようになります。また、ご使用のC-Flashより新しいバージョンで対応したCPUはここでは確認することはできません。当社ホームページの【https://www.computex.co.jp/cpu_search/index#nobk】サポートCPU検索【/a】でご確認ください。

◆関連FAQ
[No.000298] 【https://www.computex.co.jp/support/faq/Members/qa?no=298】デバイスの対応状況を知りたい【/a】",FP-10_HP_QA12,2025/07/08 16:24:26,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
385,同一製品のオンボード・フラッシュメモリ・プログラマでも使えるCPUと使えないCPUがあるのはなぜでしょうか,オンボード・フラッシュメモリプログラマ、フラッシュメモリプログラマ、フラッシュメモリ・ライタ、フラッシュメモリライタ、フラッシュ・ライタ、フラッシュライタ,"対応している全てのCPUが常にご使用いただける訳ではなく、ご購入後に初めてライセンス・ファイルを取得した日、もしくは、CPUアップデート・ライセンスの登録を行なった日を登録更新日としてライセンス情報に記録されます。そして、その更新日時点で対応しているCPUが、お使いのオンボード・フラッシュメモリ・プログラマで使用可能なCPUとなります。更新日以降に対応されたCPUについては、最新バージョンのC-Flashをご利用されても使用することはできません。このため、同一製品のオンボード・フラッシュメモリ・プログラマであっても、登録日が異なれば使えるCPUも違ってきます。使用できないCPU（更新日以降に対応したCPU）を使用する場合は、CPUアップデート・ライセンスをご購入ください。CPUアップデート・ライセンスを登録することで、登録更新日が最新になりCPUが使用可能となります。なお、登録更新日は、ライセンス・ビューア2のライセンス情報で確認することができます。
【補足】
2024年4月にFP-40のユーザ・サポート制度が開始したため、FP-40のFAQは【https://www.computex.co.jp/support/faq/Members/qa?no=303】こちら【/a】に変更となりました。

◆関連FAQ
[No.000298] 【https://www.computex.co.jp/support/faq/Members/qa?no=298】デバイスの対応状況を知りたい【/a】","FP-10_HP_QA13
2025/04/24：FP-40のユーザ・サポート制度導入に伴い、FP-40はFP-30と一緒のFAQ No.303に変更",2025/07/08 16:26:11,True,True,オンボード・フラッシュメモリ・プログラマ(FP-10)
386,同一製品のSPIフラッシュメモリ・プログラマでも使えるデバイスと使えないデバイスがあるのはなぜでしょうか,"フラッシュメモリプログラマ、フラッシュメモリ・ライタ、フラッシュメモリライタ、フラッシュ・ライタ、フラッシュライタ
シリアルNORフラッシュメモリ",【https://www.computex.co.jp/support/faq/Members/qa?no=303】No.000303に統合されました。【/a】,2025/05/09：No.303と同じだったので、回答内容をNo.303に移動させて、こちらはリンクだけにした。,2025/05/09 17:03:36,True,True,SPIフラッシュ専用プログラマ(FP-30)
387,ホームページのサポートCPU検索では対応済みと表示されているのに最新のソフトウェアにバージョンアップしても選択できない,バージョン・アップ,最新バージョンのC-Flashをいつでもご使用いただく事は可能ですが、対応している全てのCPUを常にご使用いただける訳ではありません。詳しくはFAQ 【https://www.computex.co.jp/support/faq/Members/qa?no=385】No.000385【/a】をご参照ください。,FP-10_HP_QA14,2023/05/10 13:33:15,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
388,ソフトウェアのバージョンアップ方法が知りたい,バージョン・アップ,"ソフトウェアのバージョンアップは、アップデート・ウィザードで行います。また、ヘルプ・メニューに[アップデート・ウィザード]が用意されているものもあります。
■PALMiCE、C-Sharkの場合：Windowsスタート・メニュー &gt; （全てのアプリ） &gt; CSIDE &gt; CSIDEアップデート・ウィザード
■CodeRecorderの場合：Windowsスタート・メニュー &gt; （全てのアプリ） &gt; Computex &gt; アップデート・ウィザード
■FPシリーズの場合：Windowsスタート・メニュー &gt; （全てのアプリ） &gt; Computex &gt; アップデート・ウィザード2

FPシリーズの場合は常にアップデート可能ですが、使用できるCPUやデバイスに制限あります（FAQ 【https://www.computex.co.jp/support/faq/Members/qa?no=298】No.0000298【/a】）。
その他の製品は、ユーザ・サポート制度の加入期間内でのみ、バージョンアップすることができます。

","FP-10_HP_QA15を汎用的に変更
機種依存アリ",2023/06/08 10:03:02,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
動的テストツール(CodeRecorder)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)
ライセンス・ツール
Linuxアプリケーション・デバッガ(C-Shark)"
389,FP-40(FP-10)を外部信号で制御できますか,オンボード・フラッシュメモリプログラマ、フラッシュメモリプログラマ、フラッシュメモリ・ライタ、フラッシュメモリライタ、フラッシュ・ライタ、フラッシュライタ、外部コントロール,"外部機器で制御するための入出力端子が用意されています。入力信号として書き込み開始用端子、出力信号として書き込み状況と書き込み結果の端子があります。詳しくは、以下の資料をご参照ください。
・【https://www.computex.co.jp/webreg/Members/vi?fl=pdf/technical/fp40_if01_gijutsu.pdf】FP-40 技術資料【/a】(PDF)の「FP-40の外部入出力機能について」
・【https://www.computex.co.jp/webreg/Members/vi?fl=pdf/technical/fp10_if01_gijutsu.pdf】FP-10 技術資料【/a】(PDF)の「FP-10の外部入出力機能」","FP-10_HP_QA19
tani
技術資料名称変更予定あり。
オンボード・フラッシュメモリ・プログラマ FP-10 インターフェース仕様
FP-40リリースの暁には、
オンボード・フラッシュメモリ・プログラマ FP-40 インターフェース仕様
を追加予定。",2024/06/19 17:17:30,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
390,FP-40(FP-10)の書き込みシーケンスが知りたい,"チェックSUM、SUMチェック、ﾁｪｯｸSUM、SUMﾁｪｯｸ
チェックサム、サムチェック、ﾁｪｯｸｻﾑ、ｻﾑﾁｪｯｸｻﾑ
チェック・サム、サム・チェック
checksum、sumcheck","以下のシーケンスで書き込みを行います。
▼ C-Flashモードのみ
１．C-Flash内にあるデータとFP本体にあるデータを比較
２．データに違いがあればC-Flash内にあるデータをFP本体に転送
▼ C-Flashモード、スタンドアロン・モード共通
３－１．CPUを初期化（JTAG/SWDからリセットを発行）
３－２．CPUを初期化（プロテクト/セキュリティ解除）
３－３．CPUを初期化（CPUをブレーク）
４．全消去
５．書き込み
６．ベリファイ
７．チェックサム
８．プロテクト/セキュリティ設定","FP-10_HP_QA23
",2023/06/06 11:44:29,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
391,「ハードウェアの初期化に失敗しました」のエラー要因は何でしょうか,,"CPUの初期化後にアタッチしようして（ハードウェアの初期化という）、アタッチに失敗した場合に発生します。
予期せぬ電源断、内部リセット(WDTなど)、外部リセット、セキュリティ、端子設定などによりJTAG/SWD通信ができないことが考えられます。また、正常にCPUがリセットされなかった場合、CPUがJTAG/SWD通信を阻害することにより表示されることがあります。
このエラーが発生した場合、それ以降の処理は継続されません。",FP-10_HP_QA26をJTAGエミュレータ(ARM系)と共通に変更,2022/12/14 11:22:17,True,True,"JTAGエミュレータ(ARM系)
オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
392,同じCPUでも書き込み時間が長い時と短い時があるのはなぜですか,"フラッシュ・メモリ、フラッシュメモリ
フラッシュメモリプログラマ、フラッシュメモリ・ライタ、フラッシュメモリライタ、フラッシュ・ライタ、フラッシュライタ","書き込み時間は、以下の要因で変化します。
・FP本体のデータ更新時間
FP本体にはデータ保持用のフラッシュメモリがありますが、C-Flashで保持しているデータ（パソコン内）と相違がある場合、FP本体のデータを更新してからターゲットのフラッシュメモリを書き換えるので、データを更新する時間が余分にかかります。同じデータを繰り返し書き込む場合は、データの更新時間が不要となるので2回目以降の書き込み時間は短くなります。
・データ内容による書き込みスキップ
フラッシュメモリに書き込まれている内容によっては消去時間が変化することがあるため、全体的な書き込み時間が変わることがります。また、書き込みデータの一部が消去データと同じ場合、書き込み時間が多少短くなる場合もあります。
・CPUがリセットできない場合
/SRST信号が接続されていない、またはソフトウェア・リセットが効かない場合、CPUの内部プログラムにより動作クロックが変化することにより、書き込み時間が変わることがあります。","FP-10_HP_QA27
機種依存アリ
",2023/06/08 10:13:43,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
393,複数データを同時にフラッシュメモリに書き込むことはできますか,,"フラッシュメモリに書き込む全てのデータ・ファイルをファイル・サーバに登録すれば、登録した全てのデータ・ファイルを同時に書き込むことができます。
","FP-10_HP_QA28
",2022/12/20 14:23:17,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
394,一部のエリアに書き込みを行うことはできますか,,C-Flashで設定されたデータをそのままフラッシュ・メモリに書き込む仕様となっているので、一部のエリアのみを変更することはできません。,FP-10_HP_QA29,2022/12/14 14:04:18,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
395,消去を行なわず書き込みだけ行うことはできますか,,"設定メニュー &gt; [ターゲットの設定] &gt; [メモリ操作設定]タブ &gt; [書込み時の動作]グループにある設定項目で、消去と書き込みの動作設定ができます。[消去を行う]を無効に、[書込みを行う]を有効にすると、消去を行なわずに書き込みだけを行うことができます。
ただし、既にデータが書き込まれた状態のフラッシュメモリに対しては、正しいデータを書き込むことができないので、消去を行なわずに書き込みだけを行うことはしないでください。また、CPUにより消去をスキップすることができないものや、プロテクトを解除するときに自動的に消去が発生するものもあります。","FP-10_HP_QA30、FP-10_HP_QA31

",2022/12/21 17:10:35,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
396,書き込み時のチェックサムの値を表示することはできますか,"チェックSUM、SUMチェック、ﾁｪｯｸSUM、SUMﾁｪｯｸ
チェックサム、サムチェック、ﾁｪｯｸｻﾑ、ｻﾑﾁｪｯｸｻﾑ
チェック・サム、サム・チェック
checksum、sumcheck","設定メニュー &gt; [C-Flashの設定] &gt; [表示]タブ &gt; [[書き込み]後にSUM値を表示する]を有効にすると、書き込み終了後、コマンド・ウィンドウにSUM値が表示されるようになります。
また、データ・メニュー &gt; [チェックサム]を選択すると、SUMを計算し、結果をコマンド・ウィンドウに表示します。","FP-10_HP_QA34
",2023/01/13 17:22:22,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
397,CPUが持つセキュリティやプロテクトを操作することはできますか,ターゲット・システムの設定,設定メニュー &gt; [ターゲットの設定] にCPU毎の専用のタブが用意されていて（[プロテクト]や[CPU]タブ等）、ここでセキュリティやプロテクトの設定を行います。ここで設定した内容に従い、書き込み前にセキュリティやプロテクト解除し、書き込み後にセキュリティやプロテクトの設定を行います。 ただし、CPUの仕様により永続的に禁止される設定の場合は、解除を行うことができません。,"FP-10_HP_QA35
",2022/12/21 17:14:21,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
398,アプリケーション間ソケット通信機能を使用して書き込んだ後、ターゲット電源を切る度にターゲットが見つからないメッセージが表示される,,"電源監視のメッセージを表示させないようにするには、C-Flash Ver.1.13.00以降をご使用の上、コマンド・ウィンドウで下記コマンドを実行してください。
 ProbePowerCheck(false)",FP-10_HP_QA36,2022/12/14 15:55:11,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)"
399,使用するパソコンを変更したらアプリケーション間ソケット通信機能が使えなくなった,サーバー,"以下の内容について確認してください。
１．セキュリティソフトによる制限
サーバ、クライアント共にポートのアクセスを許可するなど、セキュリティソフトの設定を見直してください。
２．ファイアウォールによる制限
Windowsファイアウォール、セキュリティソフトのファイアウォールで「使用ポート」が制限されてないか確認してください。
３．DHCPによりIPアドレスが変わる
サーバ側を固定IPにし、接続先を固定してください。",FP-10_HP_QA37,2023/01/17 14:28:17,True,True,"オンボード・フラッシュメモリ・プログラマ(FP-40)
オンボード・フラッシュメモリ・プログラマ(FP-10)
SPIフラッシュ専用プログラマ(FP-30)"
